Elapsed Time (s),Run Number,Sort Function,Input Size
0.0,10,Bubble Sort,10
0.0,10,Bubble Sort,100
0.002998828887939453,10,Bubble Sort,500
0.003007650375366211,10,Bubble Sort,1000
0.015967130661010742,10,Bubble Sort,5000
0.029982566833496094,10,Bubble Sort,10000
0.0,10,Insertion Sort,10
0.0,10,Insertion Sort,100
0.0019986629486083984,10,Insertion Sort,500
0.001999378204345703,10,Insertion Sort,1000
0.013992071151733398,10,Insertion Sort,5000
0.03702831268310547,10,Insertion Sort,10000
0.0,10,Radix Sort,10
0.0,10,Radix Sort,100
0.0009992122650146484,10,Radix Sort,500
0.0019991397857666016,10,Radix Sort,1000
0.012998104095458984,10,Radix Sort,5000
0.030017614364624023,10,Radix Sort,10000
0.0,10,Quick Sort,10
0.0,10,Quick Sort,100
0.0010199546813964844,10,Quick Sort,500
0.0019991397857666016,10,Quick Sort,1000
0.01299595832824707,10,Quick Sort,5000
0.037900447845458984,10,Quick Sort,10000
0.0,10,Selection Sort,10
0.0,10,Selection Sort,100
0.00099945068359375,10,Selection Sort,500
0.00299835205078125,10,Selection Sort,1000
0.02201676368713379,10,Selection Sort,5000
0.03198099136352539,10,Selection Sort,10000
